160 60 33 115 102 400.9
164 65 27 115 102 402.9
165 42 41 98 109 382.2
154 69 41 119 102 430.1
160 67 32 119 109 415.5
161 69 32 115 102 417.9
156 71 38 115 109 430.3
159 40 42 103 109 563.55
165 70 32 98 102 418.8
166 48 37 98 109 387.2
160 60 39 119 109 415.5
160 45 32 98 102 363.8
158 61 32 115 102 398.9
162 40 44 103 109 574.05
157 63 44 98 109 422.2
161 73 39 103 102 654.45
150 61 40 115 102 406.9
162 57 30 103 109 583.05
163 47 37 115 109 387.3
155 42 31 103 109 530.55
162 71 39 119 102 438.1
160 71 33 98 109 419.2
163 41 30 119 109 362.5
161 74 40 115 102 443.9
156 47 25 119 102 356.1
169 68 31 119 109 424.5
158 43 42 115 109 384.3
169 44 31 98 109 370.2
165 73 31 115 102 427.9
157 59 35 115 102 399.9
173 41 36 115 102 381.9
163 49 43 119 102 403.1
150 62 42 98 109 409.2
167 67 25 119 109 408.5
154 42 28 98 109 345.2
154 64 34 103 102 601.95
158 54 26 103 102 553.95
162 55 32 103 109 583.05
164 74 42 98 109 447.2
151 50 30 103 109 545.55
150 54 37 115 109 388.3
166 63 27 119 102 402.1
163 49 36 103 109 578.55
150 41 44 115 102 374.9
168 50 38 98 102 393.8
168 63 34 115 109 418.3
173 53 37 98 102 402.8
173 40 42 119 102 393.1
153 53 38 115 109 391.3
172 72 39 119 102 450.1
161 71 36 98 102 424.8
172 41 31 103 109 553.05
160 68 35 103 109 628.05
174 68 43 115 109 452.3
171 57 26 103 109 584.55
162 49 43 103 102 595.95
150 47 25 119 109 351.5
164 50 40 119 102 400.1
172 43 42 115 109 398.3
150 44 41 98 109 371.2
156 50 27 103 109 544.05
169 70 26 115 109 417.3
155 45 33 119 109 368.5
157 53 27 103 102 552.45
150 73 36 119 102 424.1
152 42 32 119 102 356.1
166 73 30 103 109 637.05
155 52 35 115 102 383.9
157 71 30 98 109 410.2
160 46 31 115 102 368.9
156 53 27 98 109 367.2
155 69 35 103 102 621.45
160 43 27 119 109 357.5
167 60 27 119 102 397.1
172 72 44 103 109 685.05
154 62 38 103 102 607.95
165 65 36 115 102 421.9
153 63 28 103 109 581.55
164 71 42 115 102 444.9
171 48 35 98 102 386.8
165 61 32 98 102 400.8
166 67 37 103 102 637.95
170 53 33 115 109 398.3
166 56 34 115 102 400.9
157 69 30 115 102 409.9
150 48 42 98 102 379.8
150 66 27 103 109 583.05
173 59 39 115 109 425.3
161 47 38 98 109 382.2
173 65 31 103 109 626.55
162 48 31 103 102 556.95
172 51 38 98 102 399.8
157 57 44 119 102 415.1
156 57 30 98 102 379.8
172 68 32 103 102 634.95
172 68 29 98 109 417.2
156 57 36 119 102 398.1
171 48 26 119 102 375.1
166 64 37 119 109 425.5
160 74 36 115 109 436.3
153 69 25 98 102 390.8
154 63 39 119 102 414.1
150 70 44 103 109 646.05
151 71 37 103 109 629.55
169 48 44 98 102 402.8
163 47 42 103 102 588.45
174 54 31 98 102 393.8
170 72 37 103 102 658.95
154 56 37 103 109 589.05
173 53 32 119 102 399.1
